Peak Method: Gauss
File Time(Hrs) PeakHeight_E2_30Hz PeakLocation_E2_30Hz PeakHeight_E2_100Hz PeakLocation_E2_100Hz Norm_E2_30Hz Norm_E2_100Hz NormalizedRatio_E2 KDM_E2
69 0.001 0.7798745537291663 -0.30290022231431657 1.3848292489711416 -0.30383976573711713 0.5850510592707076 0.5803217317936861 0.9919163850708743 0.9918835800641922
70 0.001 0.774186951868137 -0.30285191973154824 1.375548276864981 -0.3037820179805198 0.5807842993442633 0.5764324798809484 0.9925069953367741 0.992478817207907
71 0.001 0.7697703700879018 -0.30281876381570993 1.36567269242201 -0.3037296746962243 0.5774710410304401 0.5722940517890537 0.9910350669149598 0.9909947009633224
72 0.001 0.7653069308557187 -0.30275306217904824 1.3889080802311882 -0.3035838034330823 0.5741226309069242 0.5820309926446415 1.013774690827332 1.0136804687138787
73 0.001 0.7483989671654586 -0.30248575087792723 1.5641709734629499 -0.30298839043312703 0.5614385113651388 0.6554760515174176 1.1674939254231533 1.154550768016989
74 0.001 0.7218972244633624 -0.30197474416327563 1.7141209653308982 -0.30246710779334873 0.5415572720475579 0.7183135739252581 1.3263852430776297 1.2805943203506973
75 0.001 0.7048400086654033 -0.30151348136888084 1.7992663018565669 -0.3020875810220247 0.5287611856473975 0.753994282708267 1.4259637491831054 1.3511707455039592
76 0.001 0.694362340647511 -0.30106278020619537 1.8430253100653515 -0.30174285345516855 0.5209009846147535 0.7723317805941347 1.4826844321773236 1.3888407450591758
77 0.001 0.6866182006791134 -0.30079531947343274 1.8703516547797805 -0.3014182711651306 0.5150914383614659 0.7837830636314119 1.5216386941407314 1.413729925189369
78 0.001 0.6798767579266828 -0.30047799725876384 1.8859815971724117 -0.30101703142586556 0.5100341016340875 0.7903328929651483 1.5495687257636646 1.4311072066504533
79 0.001 0.6742451441887811 -0.2999984811811126 1.8943993057426967 -0.3006955575442819 0.5058093432200477 0.7938603886610051 1.569485418373625 1.443268067840669
80 0.001 0.6684704483311144 -0.29979215299215806 1.8987156031197974 -0.30053570566591964 0.5014772465868917 0.7956691612376073 1.5866505741846066 1.453598626764295
81 0.001 0.663349050950537 -0.29966393429599586 1.8977271005925676 -0.30042805968241765 0.49763524539820625 0.7952549228043054 1.5980679225562988 1.4603943702656133
82 0.001 0.6584248997119382 -0.2995028454074522 1.894779887510551 -0.3003221863238949 0.4939412155258688 0.7940198739338461 1.6075189698201273 1.4659747268201353
83 0.001 0.6540604205149921 -0.2994654253156055 1.8897429049242087 -0.3002709739326863 0.49066704384642584 0.7919090935183598 1.6139439227677574 1.4697452898053658
84 0.001 0.6495799298639856 -0.29939203485509513 1.8834644534363687 -0.3002125457661626 0.48730584198531957 0.7892780674600116 1.6196770066298305 1.473094205935742
85 0.001 0.6450642488006049 -0.29934548733123995 1.8763100670132296 -0.3001422420146731 0.48391824076557644 0.7862799751521823 1.6248198743412905 1.4760859062743052
86 0.001 0.6406466092404732 -0.2992524698078621 1.8686450621760853 -0.3001010774371335 0.4806041889199654 0.7830679048665472 1.6293405736356383 1.478706014691309
87 0.001 0.6366441374642767 -0.2992342159450911 1.8605092859005534 -0.3001000826305361 0.47760159017999154 0.7796585547382117 1.6324454749917925 1.4805003416025277
88 0.001 0.6318829012943257 -0.2992268517971623 1.8514578619870294 -0.3000361435603626 0.474029776929581 0.7758654964932349 1.6367442178816813 1.4829776157758916
