Peak Method: Poly Fit
File Time(Hrs) PeakHeight_E1_30Hz PeakHeight_E1_100Hz Norm_E1_30Hz Norm_E1_100Hz NormalizedRatio_E1 KDM_E1
1 0.0 0.22977776679908857 0.3814768476604513 1.0 1.0 1.0 1.0
2 0.0 0.2252790796701447 0.3808050524912687 0.9804215734550271 0.9982389621459268 1.0181731911794951 1.0180095457207754
3 0.0 0.2236973757353553 0.3770158555453236 0.9735379486517084 0.9883059951279182 1.0151694615465814 1.0150552713665473
4 0.001 0.22148984533487237 0.37981925413623685 0.963930707571621 0.9956547991460549 1.0329111743460841 1.0323783692680724
5 0.001 0.22064439933092217 0.3710748695229995 0.9602513002219559 0.9727323474511079 1.0129976884449592 1.0129137639050148
6 0.001 0.21918112857383676 0.3682681823784151 0.9538831002978752 0.9653749228477605 1.012047411833061 1.0119752762904182
7 0.001 0.21942754538395093 0.3662686428297093 0.9549555139327837 0.9601333477404671 1.0054220680776633 1.0054074084094036
8 0.001 0.21636199063868844 0.3663306880271193 0.9416141241718546 0.9602959924665901 1.0198402592050817 1.0196453745435194
9 0.001 0.2141993369186821 0.3647781095469327 0.9322021878033664 0.9562260771107608 1.025771114487517 1.0254432638546498
10 0.0 0.2125520091103681 0.35980546691462223 0.92503296585791 0.943190836144482 1.0196294304708717 1.0194386456987756
11 0.0 0.21141379313121433 0.3488176646424108 0.9200794144547014 0.9143875094430105 0.9938136807298701 0.9937944860847125
12 0.0 0.21149164938469767 0.35304907710997213 0.920418247295528 0.9254796962782327 1.0054990750102757 1.005483996556067
13 0.0 0.21069340343092335 0.3548571005130725 0.9169442560347796 0.9302192326726135 1.0144774085779653 1.0143733640459984
14 0.0 0.20772457860221039 0.3527421288526966 0.9040238378843638 0.9246750648591624 1.0228436752543246 1.0225857049991296
15 0.0 0.20582531053514685 0.34925714598102786 0.8957581640834508 0.9155395618973399 1.022083413366519 1.0218422377836065
16 0.0 0.20587905836873688 0.34855213400169305 0.8959920763297866 0.9136914497939225 1.019753939718571 1.0195607388901278
17 0.0 0.20494262808279018 0.3455964987124389 0.8919167025501925 0.9059435738549745 1.015726660645188 1.0156039615412482
18 0.0 0.20361671236605616 0.34552580001036404 0.8861462760411153 0.9057582449090411 1.0221317511546095 1.0218895244011401
19 0.0 0.20277482321398566 0.34669315381052 0.882482348221647 0.9088183357305817 1.0298430756853167 1.0294043180409316
20 0.0 0.20220272523511085 0.3443777457896431 0.8799925599934628 0.9027487458325918 1.0258595207206047 1.0255294312918661
21 0.0 0.20082953072051168 0.34138959239135147 0.8740163746830718 0.894915627213159 1.023911740255056 1.02362923222338
22 0.0 0.20115297714801272 0.3390091206310899 0.8754240236127606 0.888675479810084 1.0151371859120752 1.0150234793123765
23 0.0 0.19892516386244097 0.3425499202539868 0.865728510784839 0.8979573003048589 1.0372273629879676 1.0365470871482572
24 0.0 0.20051827915813192 0.33932903464756237 0.8726617981863304 0.8895140995544655 1.0193113774467493 1.0191266960236383
25 0.0 0.20186460549302865 0.33345013090092834 0.8785210523415591 0.8741031938004503 0.9949712547817339 0.9949585787702827
26 0.0 0.1965954655497626 0.3314773076253914 0.8555895911446486 0.8689316524929346 1.0155939968021774 1.0154733511083263
27 0.0 0.19661658297627582 0.33358966805008095 0.8556814948427627 0.8744689752364886 1.0219561606824024 1.0217177415706107
28 0.0 0.1957060402892239 0.33474016805666906 0.8517187847001052 0.8774848856741574 1.0302518876381535 1.029801117607477
29 0.0 0.19290003306377912 0.32898332696731813 0.8395069538318112 0.8623939538793266 1.0272624305767224 1.0268958080271497
30 0.0 0.19426657601070474 0.31992543671640306 0.8454541913124526 0.8386496813069124 0.9919516514608827 0.9919191326423865
31 0.0 0.19213631925231311 0.31737320135562186 0.8361832475302621 0.8319592743361257 0.9949485077504097 0.9949357166563797
32 0.0 0.18982614544438547 0.3206973334790746 0.8261292991430468 0.8406731245837599 1.0176047810624795 1.0174511690572114
33 0.0 0.1891285901365336 0.32324966389023757 0.8230935167104418 0.8473637807187681 1.0294866421804951 1.029058227403571
34 0.0 0.18824731435597641 0.32389380026324943 0.8192581770566808 0.8490523140516879 1.0363672134491808 1.0357177361813663
35 0.0 0.1876023923396133 0.3197419547859681 0.8164514563484626 0.8381687034138627 1.026599557017792 1.0262504320852945
36 0.0 0.18618389798575663 0.3176894829239245 0.8102781247262741 0.8327883720133304 1.0277808897959089 1.0274002876106647
37 0.001 0.18627816437583533 0.32136900514069566 0.8106883749928334 0.8424338386762149 1.0391586516627453 1.038406674861532
38 0.001 0.18438896163570462 0.324178429848871 0.8024665058083245 0.8497984395042998 1.0589830645308964 1.0572933945373024
39 0.001 0.18462643152452074 0.31589871545111237 0.8034999821629961 0.8280940701604272 1.0306086976271296 1.030147312638715
40 0.001 0.18583955374197103 0.30651260913964506 0.8087795278490285 0.8034894149394588 0.9934591409309792 0.9934376793236243
41 0.001 0.18107647982469643 0.318075094129199 0.7880504817640811 0.8337992097814397 1.058053042382448 1.0564154967699417
42 0.001 0.18183438400592422 0.3019053006564718 0.7913489043738303 0.7914118576475044 1.0000795518554788 1.0000795486913558
43 0.001 0.1791388667006686 0.3102068192065417 0.7796179290805918 0.8131733842014277 1.0430408971743481 1.0421341513367415
44 0.001 0.18068789640892646 0.30802035657416127 0.7863593546320565 0.8074418105927285 1.026810205584108 1.0264555660024235
45 0.001 0.17846546067448799 0.30311211050866405 0.7766872450742083 0.794575378211317 1.0230313208444664 1.022769119397373
46 0.001 0.17840987256204244 0.3070417867729702 0.776445323876958 0.8048765964593086 1.0366172243016254 1.0359588673460047
47 0.001 0.17688228407860151 0.30145304120924266 0.7697972112039133 0.7902263087734304 1.0265382847225015 1.0261907558545191
48 0.001 0.1765805571412784 0.2990739689621478 0.768484086172165 0.7839898300416661 1.0201770526527563 1.019975529002531
49 0.001 0.1756185317026393 0.3035784937492281 0.7642973214906182 0.7957979510710443 1.0412151510867393 1.040382956264847
50 0.001 0.17500582916545682 0.3055997452329393 0.7616308209596151 0.8010964416507671 1.0518172579221878 1.0505086480992576
51 0.001 0.1759306088752055 0.2937439501929475 0.7656554910686135 0.7700177664632639 1.0056974389206847 1.0056812546200895
52 0.001 0.17280689834296936 0.297513324618194 0.7520610055108901 0.7798987709026253 1.0370153021998854 1.036342684475576
53 0.001 0.1724897760541353 0.2908803767932113 0.7506808794297128 0.7625112207389346 1.015759481336742 1.0156362715717366
54 0.001 0.17111793273579678 0.29307582534056564 0.7447105745675457 0.7682663499448582 1.0316307786967995 1.0311383141351
55 0.001 0.16997160581013304 0.2936960234083017 0.7397217240724234 0.7698921316182143 1.0407861585836529 1.039971026275442
56 0.001 0.16904504743069992 0.28608239583718387 0.7356893131375427 0.7499338363302795 1.0193621450500447 1.0191764960014786
57 0.001 0.16905005360604264 0.29111146621289663 0.7357111001686051 0.763116996478937 1.0372508941404464 1.0365697659012816
58 0.001 0.16903589449066203 0.28993719382197014 0.7356494792573314 0.7600387693253676 1.0331534117208352 1.0326127989454317
59 0.001 0.166679707406729 0.28712863643340825 0.7253952796593641 0.752676442081168 1.037608684791297 1.0369145313052581
60 0.001 0.16583047021413222 0.283841040464722 0.7216993729385919 0.744058367383192 1.0309810362638385 1.0305084446488293
61 0.001 0.16535443148677587 0.2830091704490769 0.7196276375658106 0.7418777107568544 1.0309188697453395 1.0304481584232035
62 0.001 0.16462211667385418 0.28137899788816867 0.7164405806841847 0.7376043909711167 1.0295402170920038 1.0291102554590714
63 0.001 0.16331709320365917 0.2786402873807674 0.7107610778829581 0.7304251597171169 1.0276662333462736 1.0272887449534687
64 0.001 0.16251113487305702 0.2795378322111901 0.7072535221179703 0.7327779757161145 1.036089539040693 1.0354498545851738
65 0.001 0.16117112323627225 0.27939406635141495 0.7014217497256638 0.7324011091758333 1.0441665224414356 1.043212254927926
66 0.001 0.16169781606367906 0.2751988185254959 0.7037139333200293 0.7214037240090847 1.0251377581876164 1.0248257266311733
67 0.001 0.16132584337537992 0.27799281839452306 0.7020950965914768 0.7287278903016459 1.0379333139334908 1.037227237686472
68 0.001 0.16048446519198478 0.2742346265777087 0.6984333925236031 0.718876199852113 1.0292695159586303 1.028847342088814
69 0.001 0.1590464326509391 0.2746352505064351 0.692175030102042 0.7199263918393422 1.0400929830323538 1.0393050545889928
70 0.001 0.15817171903472627 0.2718103685083406 0.6883682491919565 0.7125212714095727 1.0350873565798078 1.0344824083018982
71 0.001 0.1578144943632651 0.27320436953414173 0.6868135962921679 0.7161754932433493 1.0427508964727759 1.041856201406245
72 0.001 0.15838886671917862 0.28637834493474656 0.6893132826800843 0.7507096346503551 1.0890688653663523 1.085271353992184
73 0.001 0.1538025249974453 0.316942044562893 0.6693533806163502 0.8308290437720087 1.2412412752841697 1.2152747033034919
74 0.001 0.14971334754955024 0.34083614148585184 0.6515571529618682 0.8934648159545101 1.3712761987079272 1.313144625590414
75 0.001 0.14779066908886307 0.37627858041105355 0.6431895963985376 0.9863733086784215 1.5335653968930774 1.4211972562834898
76 0.001 0.14916413394530537 0.3897530762342285 0.6491669582450527 1.021695231636033 1.573855875841351 1.4459114290179647
77 0.001 0.14680784665688407 0.3929393021198848 0.6389123225540304 1.0300475757040861 1.6121892462278795 1.4687173772818403
78 0.001 0.1475619399716379 0.39366878209511924 0.6421941601541548 1.0319598279933357 1.6069280788003741 1.4656270218852092
79 0.001 0.14608672097529052 0.38971215341098286 0.63577396112055 1.0215879569128183 1.6068414552748782 1.4655760357400713
80 0.001 0.1462398149415094 0.39620689529874653 0.6364402308312863 1.0386132152675391 1.6319100599768097 1.480191226581943
81 0.001 0.14579106745441095 0.3909269450468855 0.6344872677863855 1.024772400853133 1.6151189360006917 1.4704328568255445
82 0.001 0.14610302358778426 0.39073742762229813 0.6358449105980423 1.0242756015696386 1.6108890462082315 1.4679548118641195
83 0.001 0.14524693936255062 0.3912075605330756 0.6321192053779102 1.0255080037813604 1.6223332483123403 1.4746408555913757
84 0.001 0.14619288136964315 0.3888740732227234 0.6362359744642754 1.0193910209954766 1.6022216000184935 1.4628518954836234
85 0.001 0.14549067249754444 0.38744187867996516 0.6331799395750831 1.015636679017604 1.6040253576245347 1.463916648012632
86 0.001 0.14420898873868282 0.38687557109187765 0.6276020119247449 1.0141521653660923 1.6159160520468476 1.4708989430795523
87 0.001 0.1437050161548541 0.3848529081533343 0.6254087075382966 1.0088499748112838 1.613105098555903 1.4692540678097694
88 0.001 0.14260049315998913 0.3827610532371182 0.6206017890524418 1.0033664050244273 1.6167636360771775 1.4713942272614087
89 0.001 0.14179053452971857 0.37912986031551554 0.6170768238586649 0.9938476283440802 1.6105735783908015 1.467769675940081
90 0.001 0.14280057927317102 0.37781092333534616 0.6214725700508351 0.990390178728833 1.5936184901094206 1.4577531293620418
91 0.001 0.14236640960734803 0.37364918279581616 0.6195830501383075 0.9794806292632404 1.5808706016805885 1.4501353933066945
92 0.001 0.14138495700171916 0.3707462611337178 0.6153117378207541 0.9718709363555276 1.5794773228243573 1.4492982494530078
93 0.001 0.14049118697221274 0.3666747039787879 0.6114220228062989 0.9611977928085463 1.5720693023075125 1.4448319505188176
94 0.001 0.1389044515999558 0.35867439732555795 0.6045165010303633 0.9402258604297014 1.555335311488009 1.4346477027820113
95 0.001 0.13923489473745576 0.3614801538287793 0.605954599859955 0.9475808454580948 1.5637819164622146 1.4398048935770498
96 0.001 0.13995418857666664 0.35727244458666974 0.6090849890583138 0.9365507940462859 1.5376356516259846 1.423729585672786
97 0.001 0.1388482197871781 0.3626970622808585 0.6042717784292124 0.9507708384014212 1.5734159236642218 1.4456457414375126
98 0.001 0.13675493904520408 0.35256983234194195 0.5951617554224856 0.924223408325322 1.552894486086806 1.433151067621528
99 0.001 0.13786963937673136 0.351270889152147 0.600012965994577 0.9208183702535198 1.5346641196781108 1.4218816335680882
100 0.0 0.13669877291249577 0.3487304403734015 0.5949173186630431 0.9141588605235695 1.536614974628672 1.4230953297965336
101 0.0 0.1360089604932 0.3460541283566272 0.5919152335226695 0.907143200115375 1.5325559281802683 1.4205679505470417
102 0.0 0.13474382086496917 0.34444958488256816 0.5864093064442806 0.9029370641889105 1.5397727393924054 1.4250559359271935
103 0.0 0.13472213246132014 0.33538801154372777 0.5863149178358823 0.879183136802717 1.4995066815762184 1.3996842138955383
104 0.0 0.1340941970302083 0.33905815917114523 0.583582123275907 0.8888040290008307 1.5230144885377517 1.414594914863824
105 0.0 0.13567654581129318 0.3332669055016595 0.5904685544703943 0.8736228883759074 1.4795417668930417 1.3867987007082567
106 0.0 0.1340281472675997 0.3298458272447533 0.5832946726512068 0.8646549044002423 1.4823637947354966 1.388632637777328
107 0.0 0.13262103272791137 0.3240700914257104 0.5771708663348252 0.8495144421298194 1.4718595335978095 1.381785070862028
108 0.0 0.13309101491540787 0.32696428014332923 0.5792162434574405 0.8571012425749015 1.4797603697346575 1.3869409121866023
109 0.0 0.13228119455015985 0.32460151231862255 0.5756918799973495 0.8509075041103074 1.4780606322156653 1.3858344916994427
110 0.0 0.13158027062308975 0.31894857959923684 0.572641437228955 0.8360889567880926 1.4600566819508825 1.3740212047358573
111 0.0 0.13099115746081225 0.3188610092984163 0.5700775983924822 0.8358594007839534 1.4662203937515328 1.3780849391504169
112 0.0 0.1313768867730687 0.31370165930457006 0.5717563043770943 0.822334726808356 1.438260882325131 1.3594864565166667
113 0.0 0.1306373223051196 0.3143037325835394 0.5685376967709209 0.8239129963223822 1.4491791854821525 1.3667997736913038
114 0.0 0.1305004249807098 0.3150785982506932 0.5679419153499556 0.8259442222589127 1.454275868598254 1.370191366350117
115 0.0 0.12964395684321062 0.3069140105499173 0.5642145393316829 0.8045416450098654 1.4259498629064966 1.3511613075104298
116 0.0 0.12883086694273516 0.30276237385351124 0.5606759467524174 0.7936585816683611 1.415538844256545 1.3440547811885342
117 0.0 0.12897620389048825 0.30187127330646035 0.5613084576771152 0.7913226586562153 1.409782175616909 1.3400989348856844
118 0.0 0.1281237362563843 0.3011834491717309 0.557598491974257 0.7895196026150747 1.4159285112477042 1.3443218698825639
119 0.0 0.1269057800382143 0.3029421510582324 0.5522979085664856 0.794129848026526 1.437865028472996 1.3592200744167213
120 0.0 0.12735145098122302 0.2973116081302578 0.5542374823956561 0.7793699931034658 1.4062022469766728 1.3376293472313519
121 0.0 0.1264333259750856 0.29689599293396896 0.550241773764106 0.778280503141394 1.4144336912432431 1.3432968093067343
122 0.0 0.12713718312807032 0.29416588595904614 0.5533049820230675 0.7711238251105614 1.3936686821273063 1.3289249552928473
123 0.0 0.12627484915356035 0.2877552338859459 0.5495520776993696 0.7543189990446654 1.3726069460105157 1.3140907486906297
124 0.0 0.12585330791625893 0.2896928533609753 0.5477175171012156 0.759398257424073 1.3864779447682696 1.3238898106018717
